gritos,griton,grito,tricos,gropos
es,e,eso,en,et
chispeaba,chipeada,chispear,chispera,chistera
perez,jerez,pereza,prez,cerezo
diciendo,diciente,dividendo,ducientos,arriendo
va,ya,ka,uva,v
veis,neis,reis,velis,vis
llevaba,llevada,llevar,elevada,llevanza
acariciando,acariciador,acariciante,amaricado,acariciadora
manos,menos,mano,manus,manes
circunstantes,circunstante,circunstancia,circundante,circulante
pajes,pujes,pajel,pajea,paves
sonajas,sonaja,sonata,sonada,sobajar
vienen,vienes,viento,virgen,veneno
conoci,conica,conca,ponci,conocer
oraciones,oracionero,oracionera,oracion,oracional
chicarreros,chicarrero,chicarrera,chocarrero,chicharrero
panderos,panderon,pandero,ponderosa,bandero
envueltos,envuelto,envueltas,desvuelto,entuerto
conocen,conocer,concon,conopeo,cognocer
altares,alates,altarera,altarero,altanez
agitaba,agitada,agitanar,gitana,agitable
plumas,pluma,plas,puma,plumon
servido,fervido,cervido,hervido,servidor
escucharle,escuchar,escuchante,escucha,escuchaño
todos,todo,tordo,lodo,todia
estaba,esteba,estafa,estala,estiba
tendian,tension,tenia,tencion,tendida
disposiciones,disposicion,indisposicion,imposicion,posposicion
ines,fines,iris,ne,neis
esposas,esposa,esposar,esposado,esposada
lagrimones,lagrimon,lagrimona,agrimonia,lagrimoso
desprendia,desprendida,desprender,desprendido,descreida
naves,nares,paves,nave,niveo
dejan,deja,dean,dejar,rejin
sevilla,servilla,semilla,cejilla,perilla
oira,yira,pira,obra,oir
rodearon,roderon,rodear,rodeador,rodero
perdiendose,perdidosa,perdidoso,perdedor,pereciendo
villancicos,villancico,villanesco,villancejo,villanchon
tengo,rengo,tango,tenso,tongo
joyeles,joyelero,joyel,toples,joyero
capas,cabas,capa,capaz,capar
caen,jaen,cien,can,caer
alcanza,alcanzar,alianza,alcana,alcanzada
vinieron,vinagron,liniero,vinifero,vivero
gavilanes,gavilana,gavilan,taiwanes,abiyanes
bruñidos,bruñidor,bruñido,bruñidora,gruñidor
hijas,hija,jijas,hoja,dijes
cojines,cojinete,bajines,coine,jolines
merecia,gerencia,melecina,cereria,bereca
ricos,tricos,rico,bicos,rocosa
callan,callana,calan,callao,callar
tomando,tomado,comando,torondo,tocado
tamaños,tamaño,tamagas,amaño,tacaño
encomiendas,encomienda,encomendar,comienda,enmienda
levantan,levantar,levantado,devantal,leviatan
zambombas,zambomba,zambombo,zambombazo,abombar
llevaran,llevar,llevada,levar,llegar
siente,diente,siete,ciente,silente
ojos,ojosa,ojoso,ojo,opus
dejando,dejado,nefando,dejada,devaneo
caballeros,caballeroso,caballero,caballerosa,caballera
arrodillandose,arrodilladura,arrodillada,arrollador,arrodalado
tapices,tapicero,tapis,tapicera,apice
entonando,enconado,entenado,entonador,entelado
pobrecito,pobreto,precito,prescito,pobreton
alzan,alzar,alazan,alan,alza
teas,tras,tas,tea,teso
parecian,paricion,paresia,paremia,parecida
han,tan,man,dan,chan
desaforados,desaforado,desaforada,desaborado,desamorado
atraveso,atraso,traves,travesio,atravesaño
fuelles,fuelle,fuellar,fueloleo,pulles
veces,preces,buces,veras,sece
rojas,rojal,roja,boja,rioja
heredo,herido,teredo,nerdo,heredar
galoneadas,taloneada,galoneador,galopeada,alineada
pone,poner,pope,pene,poni
ponderarle,ponderable,ponderar,ponderal,ponderador
bendiga,bendita,mendiga,mendigo,benga
lecciones,leccion,seccional,seccion,leones
verdes,verdea,verde,verdeo,verdel
agolpaba,agolpar,asoleada,agolar,agallada
ambitos,ambito,amnios,abiton,amidos
encendidas,encendida,entendida,escondidas,encendido
voces,voceo,locus,buces,bocel
iglesias,iglesia,eglesia,milesia,mesias
dueñas,dueña,fueras,ducas,dueño
cuyas,cuya,guayas,cabas,puya
dientes,diente,dicente,sienes,vienes
oye,ye,ole,oxe,o
veinticuatros,veinticuatro,veinticuatria,veinticuatren,veinticuatrena
campanas,campana,campaneo,campaña,pampana
tales,tabes,taled,talea,gales
damas,jamas,dama,amas,demas
engarzasen,engarmarse,engarzador,engarbarse,engrase
prorrumpio,prorrumpir,prorrateo,proemio,propio
alborota,alborotar,alboroto,alborote,alborto
puede,purete,pueble,puñete,preda
darle,dable,dalle,farte,tarde
jesucristo,escripto,rescrito,escrito,rescripto
todas,toda,toa,tova,codal
piedras,piedra,pedral,cedras,piedad
familiares,familiar,familia,afiliar,ampliar
sentarse,sentar,absentarse,enertarse,mantearse
muertos,muerto,muerdo,muermo,murton
besaban,besana,satan,saman,resobar
angeles,angelus,angelin,angelon,angela
habia,hacia,sabia,habiz,habla
da,ya,ka,dua,dan
tiene,tizne,nieve,lieve,tino
bandadas,bandada,bancada,andada,randada
dice,doce,fice,dije,dire
