cuidarlo,cuidado,cuidar,cnidario,ruidero
preguntan,pregunta,pregunton,preguntar,pregustar
sea,ses,tea,sera,se
daria,saria,aria,diaria,caria
vere,verme,vera,ere,mere
suena,sueva,sueno,sueca,buena
magnificas,magnificar,magnifica,magnificat,magnifico
perez,prez,jerez,pereza,ternez
suele,sufle,suela,suelo,sucre
monjas,monja,manjar,monear,monda
comunidades,comunidad,comunicador,comunicada,comunicado
algunas,alguna,arguinas,algund,arganas
tengo,tango,tenso,rengo,tenio
sois,seis,pais,ses,vis
proposiciones,proposicion,proposicional,preposicion,preposicional
han,chan,hao,san,haz
da,la,ra,dea,ña
otras,otra,tras,ostras,atras
responde,responder,espondeo,responso,respede
registros,registro,registrar,registral,regusto
tienen,sienes,tienda,tizne,tineo
arreglarlo,arreglado,arreglar,arreglador,arreglo
llenarse,llenar,alunarse,llenura,llevar
noches,noche,nuche,toche,nochera
favorecido,favorecida,florecido,favorecedor,favorido
esperanzas,esperanza,esperanzar,esperanzado,esperanzada
tiene,tizne,tena,trepe,ene
llevarle,llevar,elevable,llevada,llenar
añade,anade,añada,arado,añares
conoce,conocer,conico,cogote,colote
dejaria,denaria,lejania,becaria,mejoria
ofrecido,parecido,merecido,arrecido,ofrecedor
es,ses,ese,ex,as
años,añas,añoso,amos,año
tientas,tienta,tienda,lienta,tentar
puedo,pedo,ruedo,quedo,puado
parientes,pariente,varietes,parienta,paciente
sonriendose,sonriente,sorianense,sonorense,sorriego
creeis,creer,tremis,creces,reis
conoceis,conocer,congoles,conocido,cotoperis
